"gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "som$unit.classif" "som$distances"
"15" "Solyc00g009760.2.1" 250.489546918278 232.844723961854 62.8599825966044 256.767336463726 184.366245111578 97.5985060449764 0.842610062021724 0.629203608817446 -1.42668784689123 0.9185371939723 0.0428775088772123 -1.00654052679745 -0.251967372411317 0.0559488627038233 1.57518800607077 1.6476363489668 1.28689376708795 1.66533453693773e-15 6 3.52068856861274
"16" "Solyc00g010530.1.1" 19.1384342747404 5.02878361147577 1.66666056705282 8.2148807749672 8.7391604849726 5.8321329610884 1.84828084152403 -0.514961496448199 -1.07808752370974 0.0186817445754615 0.10649398296421 -0.380407548905762 -0.68190782767545 0.787857754382544 1.17112125164691 2.5644650830699 -0.580687446199476 -9.71445146547012e-16 6 1.44477816242336
"17" "Solyc00g010770.1.1" 4.0003561950539 3.12154722675391 1.01005639443944 1.58380858196074 14.7747570744005 3.22542073952367 -0.121416075475676 -0.293802218364454 -0.707989798893847 -0.595443238550789 1.99207784245847 -0.273426511173702 -0.179391630472485 2.09014866471939 1.04767491540439 -0.600612498383763 -0.199299475802915 8.32667268468867e-17 1 0.22566164822205
"18" "Solyc00g011150.1.1" 158.898967620173 35.5250895917745 14.2899485980518 50.5617752737232 55.5662477737109 25.0597033395116 1.9511063817141 -0.4031104482633 -0.808318804467015 -0.11618083994398 -0.0206856380997278 -0.602810650940079 -1.11106259992316 0.704458789556442 1.06996809379136 2.61202350875894 -0.540496125126037 -1.72084568816899e-15 6 0.939686659984828
"19" "Solyc00g011160.1.1" 91.6899595787717 62.5105166481702 19.3245489167534 54.7752899862371 87.3181688291173 11.4995577995018 1.10961342374337 0.238543945971298 -1.05065058897424 0.00763070116111749 0.979106015007456 -1.284243496909 -1.12632859462616 1.28810326730269 1.61106765130706 1.34952582437731 0.628993555234729 -3.33066907387547e-16 6 3.3343826080317
"20" "Solyc00g011170.1.1" 248.639440426031 182.944980264243 52.9502164154429 137.221154346146 115.279757030841 42.9179707493265 1.51497306632165 0.676138703004424 -0.983728425808797 0.0923038361377638 -0.187859788039177 -1.11182739161587 -1.39155188114137 0.0405062591528332 1.57462374102914 2.0119424683549 0.430872953328602 -1.11022302462516e-16 6 1.52276714105293
"21" "Solyc00g012430.1.1" 68.5704432114148 32.2757682609243 9.37624066693677 68.1683290822046 48.3621942209961 14.1395065412381 1.09872111448837 -0.304352277442825 -1.18959833347573 1.08317625464366 0.317514050513995 -1.00546080872747 -0.0282602677154951 0.80237933814888 1.03946268281031 2.20570629400476 1.11953169809255 8.32667268468867e-16 6 3.0272234640648
"22" "Solyc00g012440.1.1" 885.241616663068 742.107296135216 160.330800774465 695.77150522025 905.013663045961 185.23888385402 0.858559238443989 0.434253392107056 -1.29035861801489 0.296896069926314 0.917171280918274 -1.21652136338074 -0.746658204105989 1.04737484353469 1.73762804184153 1.18360545400234 0.950793551298534 3.33066907387547e-16 6 3.98323933708283
"23" "Solyc00g013160.1.1" 12.0659751416456 3.36863448737173 11.244840157401 7.97263705981582 6.19401336686169 5.11730783550676 1.27822804624824 -1.24530369895995 1.03997588593714 0.0905467763084349 -0.425520551667682 -0.737926457866175 -1.17697952985169 0.712793206123039 -1.02315317044562 2.15997631491022 -0.210583017628577 -3.05311331771918e-15 6 3.04228976568498
"24" "Solyc00g013180.1.1" 56.8812167244601 36.7370886184883 55.0327907146046 55.0363598186819 74.5056135214187 50.9647444155056 0.166883786406809 -1.49603658349128 0.0142941459980528 0.0145887795429352 1.62179751047812 -0.321527638934639 0.163742704040591 2.38190827302645 -0.213666111779177 0.4342662221512 -0.0822080759463415 0 1 1.81573774551426
"25" "Solyc00g014790.2.1" 3.77958873774954 6.81022599839628 9.80978821523539 4.88981554621694 4.8890688261527 3.95794616997213 -0.834960501515951 0.490015982119142 1.80140664246628 -0.349575981295728 -0.349902442841563 -0.75698369893218 -1.32489526340275 -0.367268802225094 -1.18703093391674 -1.06893475377039 0.703438001997864 -1.60982338570648e-15 3 1.13600382193811
