"type","genotype","N","mean","sd","se","gene"
"234","Cother","tf2",4,9.02185036256555,11.1184271964377,5.55921359821883,"Solyc03g098780.1.1"
"235","Ambr","tf2",4,2.47171068790576,1.12552786564662,0.562763932823309,"Solyc03g112640.2.1"
"236","Aother","tf2",4,69.4542449550435,120.053302285496,60.0266511427478,"Solyc03g112640.2.1"
"237","Bmbr","tf2",3,4.28392260994217,2.16880205333123,1.2521584493098,"Solyc03g112640.2.1"
"238","Bother","tf2",4,3.66227618404429,2.22516263720857,1.11258131860428,"Solyc03g112640.2.1"
"239","Cmbr","tf2",4,2.22818315213518,2.46993959138186,1.23496979569093,"Solyc03g112640.2.1"
"240","Cother","tf2",4,1.74191914607691,1.36279462179739,0.681397310898693,"Solyc03g112640.2.1"
"241","Ambr","tf2",4,2.19097240240505,1.76733527206607,0.883667636033033,"Solyc03g115400.1.1"
"242","Aother","tf2",4,10.4289779785853,13.3792365866178,6.68961829330889,"Solyc03g115400.1.1"
"243","Bmbr","tf2",3,3.50854976058707,2.78002338146674,1.60504724764328,"Solyc03g115400.1.1"
"244","Bother","tf2",4,1.46435141175803,1.03071718674266,0.515358593371328,"Solyc03g115400.1.1"
"245","Cmbr","tf2",4,1.93935493584474,2.9731813449105,1.48659067245525,"Solyc03g115400.1.1"
"246","Cother","tf2",4,0.73024060351971,0.855393588995056,0.427696794497528,"Solyc03g115400.1.1"
"247","Ambr","tf2",4,5.30989165426901,3.40087059038109,1.70043529519055,"Solyc03g115790.1.1"
"248","Aother","tf2",4,19.1048870485565,26.0761440679824,13.0380720339912,"Solyc03g115790.1.1"
"249","Bmbr","tf2",3,8.19152150524352,5.07525347426414,2.93019895957199,"Solyc03g115790.1.1"
"250","Bother","tf2",4,2.59589411290963,1.71566652926882,0.857833264634409,"Solyc03g115790.1.1"
"251","Cmbr","tf2",4,1.10154324510278,0.87066070929843,0.435330354649215,"Solyc03g115790.1.1"
"252","Cother","tf2",4,1.65388020054601,1.56917132340823,0.784585661704115,"Solyc03g115790.1.1"
"253","Ambr","tf2",4,42.6614535711436,13.1842442685437,6.59212213427187,"Solyc03g118770.2.1"
"254","Aother","tf2",4,37.000796049816,42.7571875292245,21.3785937646122,"Solyc03g118770.2.1"
"255","Bmbr","tf2",3,10.4872862352018,5.86025613750774,3.38342045851025,"Solyc03g118770.2.1"
"256","Bother","tf2",4,6.38778500202611,4.35490557637524,2.17745278818762,"Solyc03g118770.2.1"
"257","Cmbr","tf2",4,53.5012922108163,54.7013821856705,27.3506910928353,"Solyc03g118770.2.1"
"258","Cother","tf2",4,0.510391452321555,0.680266439931839,0.340133219965919,"Solyc03g118770.2.1"
"259","Ambr","tf2",4,62.0327479122558,50.3255352819513,25.1627676409757,"Solyc03g121060.2.1"
"260","Aother","tf2",4,92.4056654615123,58.750459005474,29.375229502737,"Solyc03g121060.2.1"
"261","Bmbr","tf2",3,31.2000026067506,34.3042666549348,19.8055775875793,"Solyc03g121060.2.1"
"262","Bother","tf2",4,10.2335127428948,4.73621612673111,2.36810806336556,"Solyc03g121060.2.1"
"263","Cmbr","tf2",4,17.4524823963056,13.3454130430475,6.67270652152373,"Solyc03g121060.2.1"
"264","Cother","tf2",4,5.37342440563832,3.15418570213553,1.57709285106776,"Solyc03g121060.2.1"
"265","Ambr","tf2",4,3.15164049408213,2.13680363381139,1.0684018169057,"Solyc03g123540.2.1"
"266","Aother","tf2",4,25.3877940074952,40.1021150319425,20.0510575159712,"Solyc03g123540.2.1"
