"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"42" "tf2" "Solyc00g056680.1.1" 1.74870490393406 1.03784225910793 40.7342644740424 0.246457505510964 0.381351664371985 1.65033423221615 1.95101292881378 -0.693141862196145 0.026369068648877 -0.427604837582143 -0.713492743256387 -0.143142554427978 1.49225601136939 0.171959561272791 -0.965486460216134 1.74458185990858 0.13578277869492 -4.9960036108132e-16 5 0.0111238272593864
"43" "tf2" "Solyc00g068970.2.1" 531.663922018449 239.52581420714 93.4322873458265 299.186347016273 347.104065578797 73.8708258266387 2.03393760081652 -0.315975424112732 -0.544340252654862 -0.414687030242808 -0.320329315755264 -0.438605578050854 1.40125452069817 0.340964580483956 -0.109502936743852 2.00189913728833 -0.0688695969177139 1.11022302462516e-16 10 0.0107864629286268
"44" "tf2" "Solyc00g068980.1.1" 239.517191262789 120.259350313838 52.5352783468489 141.641088987863 101.247791028933 62.525413394579 1.76275398334051 0.095245056650296 -1.26385514655488 -0.521221899169689 -0.113810415778811 0.0408884215125736 0.703068645806913 0.40724284681866 0.266517165989631 2.05398229474192 -0.82821100035986 5.20417042793042e-16 10 0.027134982744249
"45" "tf2" "Solyc00g069880.2.1" 1.43332738301248 1.60874945989168 12.5146130370518 1.35745146351651 1.94022532120687 1.17058374408805 -0.458221370868363 -0.420095705829246 -0.365546962346496 -0.166839460872694 -0.609382178161574 2.02008567807837 -1.1754384507416 -0.595337971663541 -1.51211834273834 0.0111516086149975 -1.0626791153437 -2.1094237467878e-15 18 0.00663637901824271
"46" "tf2" "Solyc00g072100.2.1" 1.41229799600907 1.68229256372848 0.833209984450634 3.74959674478529 16.9822826998974 2.16126437558698 -1.03119256727452 1.46246662744749 -0.864993153034605 0.918400193431269 -0.452938862343706 -0.0317422382259326 -1.48557398660196 1.46664996058952 0.854166389409432 -0.518379750658643 0.168593790114868 1.9151347174784e-15 36 0.0111250038416245
"47" "tf2" "Solyc00g082550.1.1" 41.2342816755681 33.8176692514516 12.5927454166109 26.1023714289072 28.5797760987167 44.8334253387836 -0.664970416678063 -0.202206341664128 -0.792635872926388 1.87677379652526 -0.522509178467712 0.305548013211034 -1.84349906481146 0.079570767597115 -0.0412703332115002 0.385681457357692 1.30973704396065 -1.98452365651747e-15 25 0.040998769942814
"48" "tf2" "Solyc00g085070.2.1" 17.9669855181629 27.6647677193211 13.789480144761 1.06465844694798 232.832649748353 20.3422288974182 -0.29100708063989 1.82381160562649 0.234542963581446 -0.437392320626372 -1.14368066936077 -0.186274498580902 0.190420968501262 2.31093154194012 -0.123149124191315 -0.849676343548744 -0.472828685173057 2.08166817117217e-15 36 0.043491492332592
"49" "tf2" "Solyc00g094520.1.1" 2.26033120676136 2.24428107009969 3.14814303409119 1.89997314158404 0.732750707947409 2.10086848553939 1.88862287092951 -0.936701822324479 -0.722829498689254 0.00880332004481689 -0.0697723383355429 -0.168122531625046 0.949556215003555 -0.441890198266374 -0.175028298342641 2.2186349221689 0.218415948508962 -1.16573417585641e-15 5 0.0434639689858907
"50" "tf2" "Solyc00g094540.1.1" 17.5384148430616 28.8467863934364 9.92441629102775 15.0809136529562 25.6357148862456 8.2155750413343 1.68669194455124 -0.487153289079609 -1.03036235228007 -0.619284136267865 -0.205813817225577 0.655921650301886 0.576811758259369 -0.226371323381859 -0.47277620806582 2.01497660514763 -0.969198960871685 -9.99200722162641e-16 2 0.0676636669556692
"51" "tf2" "Solyc00g094550.1.1" 1.21492072173006 2.52599258575686 1.64119775821246 1.70152088823751 1.5053659039028 2.83808549879513 -0.425954549203376 -0.176869119534091 -0.714846592110137 -0.210913097703379 -0.473348516725425 2.00193187527641 -1.30894236189536 -0.456781102910413 -1.16214822811512 0.152228200720006 -1.3072730478613 -1.33226762955019e-15 23 0.0561430842024914
