"","ITAG","cluster"
"224","Solyc01g065780.1.1",4
"225","Solyc01g066440.2.1",6
"226","Solyc01g066450.2.1",5
"227","Solyc01g066510.1.1",1
"228","Solyc01g066520.2.1",3
"229","Solyc01g066820.2.1",5
"230","Solyc01g067030.2.1",6
"231","Solyc01g067190.1.1",5
"232","Solyc01g067200.1.1",6
"233","Solyc01g067360.2.1",1
"234","Solyc01g067530.2.1",4
"235","Solyc01g067790.2.1",4
"236","Solyc01g068140.2.1",4
"237","Solyc01g068170.2.1",4
"238","Solyc01g068250.2.1",1
"239","Solyc01g068260.2.1",4
"240","Solyc01g068360.2.1",3
"241","Solyc01g068450.2.1",3
"242","Solyc01g068490.2.1",1
"243","Solyc01g068510.1.1",6
"244","Solyc01g068550.2.1",1
"245","Solyc01g068580.2.1",4
"246","Solyc01g073700.2.1",2
"247","Solyc01g073740.2.1",4
"248","Solyc01g073940.2.1",3
"249","Solyc01g074030.2.1",3
"250","Solyc01g079080.2.1",6
"251","Solyc01g079260.2.1",6
"252","Solyc01g079360.2.1",5
"253","Solyc01g079370.2.1",1
"254","Solyc01g079400.2.1",3
"255","Solyc01g079700.2.1",6
"256","Solyc01g079740.2.1",3
"257","Solyc01g079830.2.1",3
"258","Solyc01g079960.2.1",5
"259","Solyc01g079980.2.1",6
"260","Solyc01g080200.2.1",2
"261","Solyc01g080400.2.1",1
"262","Solyc01g080450.2.1",1
"263","Solyc01g080460.2.1",6
"264","Solyc01g080500.2.1",4
"265","Solyc01g080780.2.1",4
"266","Solyc01g080790.2.1",1
"267","Solyc01g081000.2.1",6
"268","Solyc01g081020.1.1",5
"269","Solyc01g081120.2.1",4
"270","Solyc01g081210.2.1",2
"271","Solyc01g081290.2.1",5
"272","Solyc01g081320.2.1",1
"273","Solyc01g081410.2.1",3
"274","Solyc01g081460.2.1",3
"275","Solyc01g081470.2.1",4
"276","Solyc01g081540.2.1",6
"277","Solyc01g081560.2.1",1
"278","Solyc01g081570.2.1",3
"279","Solyc01g081640.2.1",5
"280","Solyc01g086850.2.1",3
"281","Solyc01g087000.2.1",2
"282","Solyc01g087010.2.1",6
"283","Solyc01g087030.2.1",3
"284","Solyc01g087050.2.1",6
"285","Solyc01g087240.2.1",6
"286","Solyc01g087250.2.1",4
"287","Solyc01g087330.2.1",6
"288","Solyc01g087340.2.1",6
"289","Solyc01g087450.2.1",1
"290","Solyc01g087680.2.1",3
"291","Solyc01g087740.1.1",3
"292","Solyc01g087750.2.1",2
"293","Solyc01g087880.2.1",4
"294","Solyc01g088050.2.1",2
"295","Solyc01g088070.2.1",1
"296","Solyc01g088130.2.1",6
"297","Solyc01g088660.2.1",3
"298","Solyc01g088750.2.1",1
"299","Solyc01g088770.2.1",1
"300","Solyc01g088810.2.1",4
"301","Solyc01g089910.2.1",6
