"","gene","tf2ambr","tf2aother","tf2bmbr","tf2bother","tf2cmbr","tf2cother","wtambr","wtaother","wtbmbr","wtbother","wtcmbr","wtcother","sd","average","cv"
"62","Solyc00g012440.1.1",885.241616663068,742.107296135216,160.330800774465,695.77150522025,905.013663045961,185.23888385402,8033.23842533994,951.262406499314,224.159601226164,1097.99754733887,2412.16943856289,877.125952624712,2161.91609340867,1430.80476144041,1.51097910188127
"68","Solyc00g013160.1.1",12.0659751416456,3.36863448737173,11.244840157401,7.97263705981582,6.19401336686169,5.11730783550676,30.4828185358203,11.0155083408566,7.63327631823729,5.18583541694566,11.1182302166556,8.56854184684654,7.03810023595282,9.99730156033038,0.703999993746336
"72","Solyc00g014800.1.1",75.1590409119464,15.7915328286483,124.303609420505,5.63443590866402,10.0968722062073,4.19087383266486,8.6433516521175,3.72275341666028,57.4672262209132,2.39764235309074,4.44190792156329,169.767153749649,55.929162054322,40.1347000352191,1.39353631658497
"77","Solyc00g015600.1.1",0.64636869462368,0.515088529323575,0.396756661343329,0.67689214977316,0.0182107846167592,0.12276175446141,0.0133593488490135,0.27005432221628,0.298091564617509,0.565964011964049,0.544114578692929,1.00163996896106,0.294533376179987,0.422441864120229,0.697216353765926
"83","Solyc00g019970.2.1",19.0088305327243,18.8580688285427,34.7151410089426,4.81352560169901,81.6219853284313,9.17186105676661,28.7844463032802,18.9683917269477,16.200290243736,12.3471702968802,17.7875596492787,17.9651059550741,19.9756315064916,23.353531377692,0.855358069125809
"85","Solyc00g019990.1.1",8.90906089948592,4.58583277007837,5.60653581974702,3.88664142906077,2.98296839044087,1.22984920649441,36.8276445407131,4.50179803580074,9.93645529553867,2.20111154286955,4.08217402609645,6.85272635981715,9.54338731327998,7.63356652634525,1.25018721987206
"86","Solyc00g020000.1.1",2.7949185502478,5.65152747295892,8.63129977799688,1.40374051491755,1.98553688096833,1.56716420967247,4.12128489687307,1.83166465268079,2.89507546662122,1.9431211717601,1.60739015650456,4.33647348599988,2.15851731081565,3.23076643643346,0.668113078826737
"87","Solyc00g020010.1.1",4.81712839640435,5.32370407834466,809.411599996293,2.44610675398439,4.30296587606945,2.17511514617251,5.64527973772293,2.72247001721775,4.66244019229481,2.06460250301478,4.40251644692723,4.75166123985056,232.523719127373,71.0604658653581,3.27219525365831
"93","Solyc00g021650.1.1",1.33918804028599,0.53353093734785,2.25218461258538,0.860238497375201,2.8218916065778,0.341542639855273,4.4107049083376,2.03335241814433,1.78272029863818,1.47898498966057,1.04051130802771,1.21326570101655,1.11943414630907,1.67567632982104,0.668049149103055
"94","Solyc00g022070.1.1",0.590566887753549,0.264672936355304,14.1683242937341,0.670420971364928,0.0212459153862191,0.801719096153533,2.57256442164249,1.53206036909482,1.91650399856766,1.02409183459548,1.65209549195397,3.36896729081425,3.83685329717599,2.38193612561803,1.61081284082732
