itag3	dPC1	dPC2	dPC3	dPC4	dPC5	dPC6	overall_distance	m82.PC1	m82.PC2	m82.PC3	m82.PC4	m82.PC5	m82.PC6	penn.PC1	penn.PC2	penn.PC3	penn.PC4	penn.PC5	penn.PC6	m82.inf	m82.veg	m82.leaf	m82.root	m82.seedling	m82.stem	penn.inf	penn.veg	penn.leaf	penn.root	penn.seed	penn.stem	cluster	distance
Solyc07g007620.2.1	-1.213026994	0.608563732	1.530181575	1.12516775	-0.725625911	2.67E-12	2.444539913	0.873820353	1.095261177	1.72916859	0.842077066	0.46692318	8.82E-12	2.086847347	0.486697445	0.198987015	-0.283090684	1.192549091	6.15E-12	-0.031581533	1.817571703	-1.070505083	-0.65885613	-0.266809507	0.21018055	0.061741606	1.134768133	-1.445605182	0.84096325	-0.902704856	0.310837049	1	0.001381783
Solyc07g008180.2.1	-0.397838621	1.410646253	0.937956132	0.871113019	-0.080689034	-4.48E-10	1.94764184	1.466002593	0.271037131	1.061827188	0.90616554	1.228620155	-4.30E-10	1.863841214	-1.139609122	0.123871056	0.035052521	1.309309189	1.76E-11	0.619965974	1.498510721	-1.124661892	-0.096577614	-1.037430499	0.140193311	1.186191788	0.185342467	-1.236499029	0.701653625	-1.188839538	0.352150687	6	0.002057231
Solyc11g011880.1.1	-0.109172973	1.602827021	2.167240541	-0.501958147	0.447215611	4.22E-10	2.780264114	-1.313935639	1.875635814	1.075388718	0.466697753	0.196796643	4.58E-10	-1.204762666	0.272808793	-1.091851823	0.9686559	-0.250418968	3.62E-11	-0.872473244	1.381543748	0.470736882	-0.890873383	0.765139101	-0.854073105	-0.491613467	-0.326491387	2.037756586	-0.364019132	-0.409052427	-0.446580173	6	0.003092185
Solyc04g064870.2.1	0.352050346	-0.196944277	-1.979418194	-1.001064476	0.951862631	4.52E-10	2.447242414	0.878921705	1.513828128	-0.945688167	-0.105468677	1.823998778	4.66E-10	0.526871359	1.710772405	1.033730027	0.895595799	0.872136147	1.43E-11	-0.647833639	1.373407314	-0.025913346	1.062447167	-0.958793785	-0.803313712	-0.456219472	2.037522556	-0.450420072	-0.398225471	-0.438821271	-0.29383627	4	0.002233068
Solyc10g049620.1.1	0.281923181	0.596633252	0.905468883	-2.188342036	-0.448264548	4.08E-10	2.499021366	-0.67271367	1.145990239	-0.594832027	-1.822584598	-0.884316292	4.37E-10	-0.954636851	0.549356987	-1.50030091	0.365757438	-0.436051744	2.88E-11	-1.583199097	-0.501417504	0.292315736	0.50995227	1.374097329	-0.091748735	-0.937304331	-0.470209149	1.932528464	0.04359555	-0.251608604	-0.31700193	6	0.006647303
Solyc10g082060.1.1	-1.079551889	-1.607613416	1.865594756	1.612123895	0.393883447	-8.80E-10	3.159807683	1.087320159	-1.916173932	0.980097853	0.845375558	-0.70498941	-8.77E-10	2.166872048	-0.308560516	-0.885496903	-0.766748337	-1.098872857	3.43E-12	1.290994449	-0.645497224	-0.645497224	-0.645497224	-0.645497224	1.290994449	-0.626962328	-0.626962328	-0.626962328	0.877747259	-0.626962328	1.630102053	1	0.006822372
Solyc12g100230.1.1	-2.80628722	0.563707654	-1.471887834	0.569039156	1.782678	9.26E-10	3.723065201	-1.194228066	0.144393192	-1.127648046	0.948095344	-0.259291266	3.65E-11	1.612059154	-0.419314462	0.344239788	0.379056188	-2.041969266	-8.89E-10	-0.424194818	-0.424194818	2.040175077	-0.343395805	-0.424194818	-0.424194818	-0.40824829	-0.40824829	-0.40824829	-0.40824829	-0.40824829	2.041241452	8	0.01300577
Solyc02g079140.1.1	2.12460788	-2.13093715	2.145510696	-0.075168542	-0.132524759	-4.63E-10	3.698821576	0.870484437	-2.067452571	1.036942304	0.85898505	-0.328734737	-4.26E-10	-1.254123443	0.063484579	-1.108568392	0.934153592	-0.196209978	3.68E-11	1.544178892	-0.635838367	-0.635838367	-0.635838367	-0.635838367	0.999174577	-0.345801436	-0.463521073	2.038021227	-0.345801436	-0.404661254	-0.478236028	3	0.00904905
Solyc02g032040.1.1	0.991480601	-2.170660059	2.076837369	-0.346496852	1.527517218	-9.08E-10	3.530073831	-0.197900675	-2.03186308	0.972876732	0.62672435	1.230606467	-8.71E-10	-1.189381276	0.138796979	-1.103960637	0.973221202	-0.296910751	3.66E-11	2.041241452	-0.40824829	-0.40824829	-0.40824829	-0.40824829	-0.40824829	-0.424406266	-0.424406266	2.040762044	-0.370226742	-0.424406266	-0.397316504	3	0.009408462
Solyc05g006740.2.1	0.09967931	1.927495369	-0.921638901	-0.96919866	3.153297032	1.34E-09	3.931567224	1.711738464	1.508180907	-0.577399113	-0.590142472	1.111327766	4.53E-10	1.612059154	-0.419314462	0.344239788	0.379056188	-2.041969266	-8.89E-10	-0.881569423	1.302811955	-0.812086119	1.14647452	-0.742602814	-0.01302812	-0.40824829	-0.40824829	-0.40824829	-0.40824829	-0.40824829	2.041241452	4	0.018519148
