"","genotype","gene","Ambr","Aother","Bmbr","Bother","Cmbr","Cother","Ambr.1","Aother.1","Bmbr.1","Bother.1","Cmbr.1","Cother.1","PC1","PC2","PC3","PC4","PC5","PC6","ssom.unit.classif","ssom.distances"
"1420","tf2","Solyc04g076330.1.1",1.71452236063776,5.87279643452043,11.3723391529352,1.72639695773539,1.09309726939053,1.32332441727115,-0.52193765493542,0.494200539162303,1.83809834555084,-0.519035914589297,-0.67379242899974,-0.61753288618869,-1.37373482940259,0.831688580855622,-0.637411570975618,-1.66685786637119,0.601599599145703,-2.33146835171283e-15,12,0.0725309534542495
"1488","tf2","Solyc04g082320.2.1",8.23982768602721,4.24254499158648,14.5912225179917,7.90906681165209,10.3144016245444,8.98706512113737,-0.23838079715121,-1.4183726858531,1.63654148294781,-0.336020913874852,0.374030334882851,-0.017797420951505,-1.34742734370935,-1.66617242802924,-0.797927958233514,-0.847924124912889,0.779459264109865,-4.85722573273506e-16,12,0.0564896941684156
"1491","tf2","Solyc04g082510.2.1",7.81211275186394,3.14162423165513,30.9336320219392,5.8157952153184,4.21250762105604,3.31784839610011,-0.129168484109584,-0.562100811460583,2.01408764555908,-0.314217733987546,-0.462834956060486,-0.545765659940878,-1.64143653774641,-0.189631065311051,-1.01939206266208,-1.13993024731846,1.08200478545361,-1.16573417585641e-15,12,0.0514589748578281
"1493","tf2","Solyc04g082570.2.1",14.2990903773022,19.1808202318402,56.572568556426,14.7637393936401,16.5611392940738,16.1586345568724,-0.520310203537944,-0.225767180830082,2.03029345833394,-0.492275238505379,-0.383827697272343,-0.408113138188195,-1.46744081766868,-0.0608872055131325,-0.872740328956348,-1.59804078931237,0.754061504289133,-1.77635683940025e-15,12,0.0334599284221697
"1544","tf2","Solyc05g008620.2.1",8.41110853231666,9.59948618830768,37.2553166434371,7.83837842457122,8.23195824867539,8.80294851088567,-0.421848171026912,-0.320478719633383,2.03858310464086,-0.470702452766412,-0.437129816451797,-0.388423944762351,-1.49984810163086,-0.0948108969278019,-0.978218128095519,-1.48772631450989,0.800424326340052,-1.13797860024079e-15,12,0.044425926652938
"1573","tf2","Solyc05g010780.1.1",5.05437580907019,2.48841186473278,18.1248493936283,4.04502261975198,3.67037526316438,3.3548501570215,-0.179912796363006,-0.611924372557808,2.02066212104316,-0.349849814853423,-0.41292630327946,-0.46604883398946,-1.61250001736222,-0.299469045629412,-1.04163902710282,-1.18145126275483,1.01970732375246,-9.43689570931383e-16,12,0.0696786908795827
"1592","tf2","Solyc05g013400.2.1",14.312599307219,23.0908525526552,46.4346361747336,12.9112199758546,10.9549558625264,15.5688505061076,-0.467018891394227,0.190716208618705,1.93981428383435,-0.572021145134198,-0.718599688297166,-0.372890767627469,-1.38487092472073,0.535359144556291,-0.981296334817618,-1.600551257517,0.560155082138552,-1.27675647831893e-15,12,0.0295684916253439
"1599","tf2","Solyc05g013710.2.1",8.23920232786951,5.61014716731258,34.4968539697939,5.51983679857369,5.78725081965996,5.33001494474816,-0.222541023908945,-0.448320222433537,2.03242556324922,-0.456075937482136,-0.433110834177758,-0.472377545246843,-1.64360761509945,-0.153802810501031,-0.998559768239817,-1.28607123003966,0.893838014286372,-1.38777878078145e-15,12,0.0295346350221252
"1621","tf2","Solyc05g018490.2.1",45.1071931473407,38.193426982198,107.426401780604,41.8501477813763,37.2198969552621,34.72759734928,-0.201657321538842,-0.448555131184387,2.02382669728303,-0.317969812815612,-0.483320905081469,-0.572323526662717,-1.61146141777899,-0.0814257016644055,-0.972399322404009,-1.23477440908572,1.06547734432658,-1.38777878078145e-15,12,0.0346391362130894
"1637","tf2","Solyc05g026540.2.1",40.1795165279251,51.4609503195408,136.851956919375,36.6513695035503,43.2738067285905,37.959867214302,-0.448624692561105,-0.160242238045051,2.02257144784992,-0.538813202069434,-0.369526678998676,-0.505364636175651,-1.57147693692604,0.0214956773600191,-0.790230289422573,-1.56479600264896,0.744070638364174,-1.55431223447522e-15,12,0.0310919743511268
