GeneID	GOID
Solyc00g050030.1.1	GO:0055114
Solyc00g050130.1.1	GO:0080002
Solyc00g050430.2.1	GO:0005634
Solyc00g050430.2.1	GO:0045449
Solyc00g052940.2.1	GO:0016020
Solyc00g055950.1.1	GO:0006817
Solyc00g055950.1.1	GO:0006355
Solyc00g055960.1.1	GO:0016020
Solyc00g055960.1.1	GO:0016310
Solyc00g055960.1.1	GO:0005524
Solyc00g055960.1.1	GO:0007165
Solyc00g055960.1.1	GO:0016021
Solyc00g055960.1.1	GO:0006355
Solyc00g055960.1.1	GO:0018106
Solyc00g056680.1.1	GO:0006629
Solyc00g057280.1.1	GO:0006355
Solyc00g058480.1.1	GO:0005634
Solyc00g058490.1.1	GO:0006508
Solyc00g058900.1.1	GO:0004091
Solyc00g059100.2.1	GO:0003714
Solyc00g060710.1.1	GO:0015995
Solyc00g060810.2.1	GO:0009607
Solyc00g063110.2.1	GO:0006869
Solyc00g065630.1.1	GO:0005112
Solyc00g065930.1.1	GO:0003824
Solyc00g066150.1.1	GO:0009273
Solyc00g071180.2.1	GO:0004869
Solyc00g071180.2.1	GO:0050897
Solyc00g071590.1.1	GO:0005622
Solyc00g072400.2.1	GO:0005515
Solyc00g074210.1.1	GO:0019904
Solyc00g074210.1.1	GO:0015450
Solyc00g074810.1.1	GO:0009294
Solyc00g074830.1.1	GO:0016226
Solyc00g075030.2.1	GO:0008270
Solyc00g082150.2.1	GO:0005488
Solyc00g084870.2.1	GO:0003700
Solyc00g085070.2.1	GO:0005515
Solyc00g085070.2.1	GO:0008144
Solyc00g088080.1.1	GO:0005737
Solyc00g088080.1.1	GO:0009116
Solyc00g088190.1.1	GO:0006189
Solyc00g088190.1.1	GO:0005524
Solyc00g088210.1.1	GO:0016021
Solyc00g090110.1.1	GO:0009245
Solyc00g090130.1.1	GO:0006886
Solyc00g090130.1.1	GO:0016020
Solyc00g090870.2.1	GO:0005515
Solyc00g093100.1.1	GO:0015559
Solyc00g093300.1.1	GO:0008270
Solyc00g094020.1.1	GO:0009055
Solyc00g094530.1.1	GO:0016020
Solyc00g095450.1.1	GO:0005515
Solyc00g095460.1.1	GO:0008152
Solyc00g095760.1.1	GO:0009058
Solyc00g095760.1.1	GO:0030170
Solyc00g095860.1.1	GO:0009058
Solyc00g095860.1.1	GO:0030170
Solyc00g096060.1.1	GO:0016787
Solyc00g098560.2.1	GO:0016298
Solyc00g098560.2.1	GO:0004091
Solyc00g099580.1.1	GO:0003840
Solyc00g099580.1.1	GO:0006355
Solyc00g099580.1.1	GO:0045449
Solyc00g101700.1.1	GO:0006468
Solyc00g102400.2.1	GO:0006952
Solyc00g102400.2.1	GO:0006915
Solyc00g104200.1.1	GO:0003677
Solyc00g104630.1.1	GO:0005975
Solyc00g104730.1.1	GO:0005975
Solyc00g105340.1.1	GO:0008270
Solyc00g105750.1.1	GO:0008270
Solyc00g107050.1.1	GO:0003677
Solyc00g107050.1.1	GO:0005622
Solyc00g110070.1.1	GO:0005622
Solyc00g110370.1.1	GO:0045449
Solyc00g110870.2.1	GO:0004675
Solyc00g111170.1.1	GO:0048500
Solyc00g112490.1.1	GO:0016020
Solyc00g112600.1.1	GO:0016020
Solyc00g112600.1.1	GO:0016021
Solyc00g112810.1.1	GO:0016020
Solyc00g112830.1.1	GO:0009055
Solyc00g112830.1.1	GO:0000166
Solyc00g117450.2.1	GO:0003700
Solyc00g117450.2.1	GO:0046982
Solyc00g118690.1.1	GO:0016020
Solyc00g120930.1.1	GO:0005509
Solyc00g121730.1.1	GO:0006508
Solyc00g122530.1.1	GO:0016021
Solyc00g124840.1.1	GO:0019028
Solyc00g124850.1.1	GO:0019069
Solyc00g125580.1.1	GO:0006508
Solyc00g125990.1.1	GO:0055114
Solyc00g126430.1.1	GO:0016763
Solyc00g126430.1.1	GO:0009116
Solyc00g127550.1.1	GO:0005971
Solyc00g127560.1.1	GO:0005515
Solyc00g127560.1.1	GO:0016959
Solyc00g128870.2.1	GO:0016787
Solyc00g130190.1.1	GO:0005737
Solyc00g130190.1.1	GO:0019363
Solyc00g130290.1.1	GO:0016020
Solyc00g130800.1.1	GO:0006508
Solyc00g130810.1.1	GO:0005515
Solyc00g131710.1.1	GO:0003676
Solyc00g131710.1.1	GO:0005634
Solyc00g131710.1.1	GO:0015074
Solyc00g134620.1.1	GO:0016740
Solyc00g134820.1.1	GO:0016020
Solyc00g134830.1.1	GO:0015937
Solyc00g134840.1.1	GO:0055085
Solyc00g135040.1.1	GO:0005622
Solyc00g135050.1.1	GO:0006355
Solyc00g135060.1.1	GO:0008152
Solyc00g135060.1.1	GO:0016491
Solyc00g135060.1.1	GO:0055114
Solyc00g135260.1.1	GO:0016740
Solyc00g136260.1.1	GO:0004842
Solyc00g136560.2.1	GO:0016765
Solyc00g138060.2.1	GO:0010302
Solyc00g140060.2.1	GO:0006508
Solyc00g145170.1.1	GO:0004867
Solyc00g147570.2.1	GO:0003779
Solyc00g147770.1.1	GO:0046983
Solyc00g153680.1.1	GO:0005840
Solyc00g153680.1.1	GO:0006468
Solyc00g154480.1.1	GO:0016829
Solyc00g154480.1.1	GO:0016020
Solyc00g154980.1.1	GO:0003700
Solyc00g156980.2.1	GO:0016117
Solyc00g163580.1.1	GO:0008171
Solyc00g164680.1.1	GO:0016020
Solyc00g164680.1.1	GO:0009073
Solyc00g167290.1.1	GO:0003676
Solyc00g170510.1.1	GO:0030599
Solyc00g171810.2.1	GO:0045263
Solyc00g174330.2.1	GO:0005576
Solyc00g174340.1.1	GO:0005515
Solyc00g175240.1.1	GO:0006508
Solyc00g178340.1.1	GO:0008152
Solyc00g178340.1.1	GO:0009081
Solyc00g179240.1.1	GO:0005634
Solyc00g180440.1.1	GO:0005840
Solyc00g185750.1.1	GO:0004725
Solyc00g187050.2.1	GO:0005737
Solyc00g187050.2.1	GO:0005622
Solyc00g196060.2.1	GO:0005634
Solyc00g196060.2.1	GO:0006355
Solyc00g198360.1.1	GO:0008270
Solyc00g201160.2.1	GO:0004672
Solyc00g202560.1.1	GO:0008810
Solyc00g203660.1.1	GO:0009536
Solyc00g207960.1.1	GO:0045449
Solyc00g209460.1.1	GO:0006629
Solyc00g217960.1.1	GO:0008270
Solyc00g226760.1.1	GO:0080118
Solyc00g226760.1.1	GO:0050294
Solyc00g227860.1.1	GO:0008152
Solyc00g227860.1.1	GO:0055114
Solyc00g227960.1.1	GO:0080131
Solyc00g227960.1.1	GO:0047364
Solyc00g230060.1.1	GO:0003676
Solyc00g230070.1.1	GO:0016020
Solyc00g230080.1.1	GO:0030077
Solyc00g231680.1.1	GO:0005975
Solyc00g231780.1.1	GO:0051536
Solyc00g231780.1.1	GO:0055114
Solyc00g245200.1.1	GO:0016021
Solyc00g247300.2.1	GO:0019825
Solyc00g247300.2.1	GO:0046424
Solyc00g249900.2.1	GO:0030117
Solyc00g255510.1.1	GO:0045449
Solyc00g257110.2.1	GO:0008553
Solyc00g265110.2.1	GO:0003723
Solyc00g270510.1.1	GO:0003700
Solyc00g272810.1.1	GO:0008152
Solyc00g277510.1.1	GO:0030077
Solyc00g282510.1.1	GO:0009058
Solyc00g282510.1.1	GO:0005737
Solyc00g282510.1.1	GO:0003824
Solyc00g283010.1.1	GO:0015431
Solyc00g286020.1.1	GO:0003677
Solyc00g287330.1.1	GO:0048500
Solyc00g289230.1.1	GO:0004672
Solyc00g294230.1.1	GO:0031224
Solyc00g300730.1.1	GO:0005634
Solyc00g300730.1.1	GO:0008270
Solyc00g304030.1.1	GO:0017111
Solyc00g304030.1.1	GO:0016887
Solyc00g306730.1.1	GO:0008270
Solyc00g306830.1.1	GO:0016491
Solyc00g306830.1.1	GO:0050660
Solyc00g316030.1.1	GO:0008270
Solyc00g316530.1.1	GO:0005524
Solyc00g316730.1.1	GO:0008270
Solyc00g318130.1.1	GO:0005634
Solyc00g323130.2.1	GO:0009607
Solyc01g005000.2.1	GO:0006536
Solyc01g005000.2.1	GO:0030170
Solyc01g005000.2.1	GO:0019752
Solyc01g005020.2.1	GO:0005515
Solyc01g005020.2.1	GO:0015385
Solyc01g005030.2.1	GO:0006468
Solyc01g005030.2.1	GO:0016021
Solyc01g005060.2.1	GO:0003700
Solyc01g005070.2.1	GO:0005488
Solyc01g005080.2.1	GO:0008017
Solyc01g005090.2.1	GO:0016312
Solyc01g005090.2.1	GO:0046030
Solyc01g005100.2.1	GO:0055114
Solyc01g005120.2.1	GO:0016798
Solyc01g005120.2.1	GO:0016762
Solyc01g005130.2.1	GO:0003700
Solyc01g005140.2.1	GO:0000293
Solyc01g005150.2.1	GO:0000293
Solyc01g005160.2.1	GO:0005488
Solyc01g005160.2.1	GO:0000151
Solyc01g005170.1.1	GO:0030118
Solyc01g005170.1.1	GO:0005543
Solyc01g005190.1.1	GO:0005622
Solyc01g005200.1.1	GO:0005622
Solyc01g005210.2.1	GO:0003825
Solyc01g005210.2.1	GO:0004805
Solyc01g005230.2.1	GO:0008757
Solyc01g005240.2.1	GO:0008652
Solyc01g005240.2.1	GO:0008152
Solyc01g005250.2.1	GO:0008152
Solyc01g005250.2.1	GO:0005737
Solyc01g005250.2.1	GO:0055114
Solyc01g005260.2.1	GO:0005215
Solyc01g005270.2.1	GO:0005215
Solyc01g005280.2.1	GO:0005215
Solyc01g005290.2.1	GO:0008526
Solyc01g005300.2.1	GO:0005515
