Gene,Related Hormone,Function category,PMID
AT2G04550,auxin,14630970;,
AT2G06850,auxin,8696366;,
AT2G14960,auxin,15659623;,
AT2G16580,auxin,,
AT2G17500,auxin,,
AT2G17800,auxin,15994909;,
AT2G18010,auxin,,
AT2G20000,auxin,12368267;,
AT2G21200,auxin,,
AT2G21210,auxin,,
AT2G21220,auxin,,
AT2G22670,auxin,12036262;,
AT2G22810,auxin,7642574;,
AT2G23170,auxin,,
AT2G23260,auxin,11042207;,
AT2G24400,auxin,,
AT2G25170,auxin,17010112;,
AT2G25930,auxin,10571046;,
AT2G26170,auxin,16546078;,
AT2G26740,auxin,7920716;,
AT2G28085,auxin,,
AT2G28350,auxin,17672844;,
AT2G31180,auxin,16463103;,
AT2G32410,auxin,,
AT2G33310,auxin,12036262;,
AT2G33860,auxin,9409666;,
AT2G34650,auxin,10693763;,
AT2G34680,auxin,10080694;,
AT2G36210,auxin,,
AT2G36910,auxin,15908594;,
AT2G37030,auxin,,
AT2G37630,auxin,16463103;,
AT2G38120,auxin,16839804;,
AT2G39175,auxin,17672844;,
AT2G39550,auxin,16183844;,
AT2G42620,auxin,16546078;,
AT2G44990,auxin,16546078;,
AT2G45210,auxin,,
AT2G46370,auxin,,
AT2G46690,auxin,,
AT2G46830,auxin,16463103;,
AT2G46990,auxin,18298415;,
AT2G47000,auxin,16243904;,
AT2G47750,auxin,,
AT3G02260,auxin,11485992;,
AT3G03820,auxin,,
AT3G03830,auxin,,
AT3G03840,auxin,,
AT3G03847,auxin,,
AT3G03850,auxin,,
AT3G04730,auxin,12036262;,
AT3G05630,auxin,17259265;,
AT3G07390,auxin,10080694;,
AT3G09600,auxin,16463103;,
AT3G09870,auxin,,
AT3G11260,auxin,16262712;,
AT3G12830,auxin,,
AT3G12955,auxin,,
AT3G14370,auxin,16460509;,
AT3G15170,auxin,16359384;,
AT3G15540,auxin,12036262;,
AT3G16350,auxin,16463103;,
AT3G16500,auxin,12036262;,
AT3G17600,auxin,12036262;,
AT3G20220,auxin,,
AT3G21110,auxin,8938402;,
AT3G23030,auxin,7658471;,
AT3G23050,auxin,12036262;,
AT3G23250,auxin,16463103;,
AT3G24650,auxin,12662310;,
AT3G25880,auxin,,
AT3G26790,auxin,15363412;,
AT3G26810,auxin,15917797;,
AT3G28860,auxin,15908594;,
AT3G28910,auxin,16463103;,
AT3G28970,auxin,17905859;,
AT3G43120,auxin,,
AT3G47600,auxin,16463103;,
AT3G49850,auxin,16463103;,
AT3G50410,auxin,10758484;,
AT3G51200,auxin,,
AT3G53020,auxin,16227452;,
AT3G53250,auxin,,
AT3G55730,auxin,16463103;,
AT3G60690,auxin,,
AT3G61900,auxin,,
AT3G62100,auxin,12036262;,
AT3G62980,auxin,9436980;,
AT4,auxin,11123795;,
AT4G00880,auxin,,
AT4G01280,auxin,16463103;,
AT4G02570,auxin,10654597;,
AT4G02980,auxin,9804548;,
AT4G03190,auxin,15917797;,
AT4G03400,auxin,,
AT4G09460,auxin,16463103;,
AT4G09530,auxin,,
AT4G10100,auxin,15710899;,
AT4G11260,auxin,12782725;,
AT4G11280,auxin,10080689;,
AT4G12410,auxin,,
AT4G12550,auxin,10080694;,
AT4G13260,auxin,16818609;,
AT4G13520,auxin,16923017;,
AT4G13790,auxin,,
AT4G14550,auxin,12036262;,
AT4G14560,auxin,7658471;,
AT4G16420,auxin,12747832;,
AT4G16890,auxin,17919906;,
AT4G17788,auxin,17672844;,
AT4G18710,auxin,11820813;,
AT4G22620,auxin,,
AT4G23915,auxin,16244142;,
AT4G27260,auxin,,
AT4G28640,auxin,12036262;,
AT4G29080,auxin,12036262;,
AT4G30080,auxin,16006581;,
AT4G31320,auxin,,
AT4G32280,auxin,12036262;,
AT4G32540,auxin,16818609;,
AT4G32690,auxin,11526234;,
AT4G32810,auxin,12815068;,
AT4G32880,auxin,8575317;,
AT4G33090,auxin,11891249;,
AT4G34750,auxin,,
AT4G34760,auxin,,
AT4G34770,auxin,,
AT4G34780,auxin,,
AT4G34790,auxin,,
AT4G34800,auxin,,
AT4G34810,auxin,,
AT4G36110,auxin,,
AT4G36740,auxin,15567172;,
AT4G36760,auxin,11891249;,
AT4G36800,auxin,12682009;,
AT4G37260,auxin,16463103;,
AT4G37390,auxin,15659623;,
AT4G37580,auxin,8612271;,
AT4G38620,auxin,16463103;,
AT4G38630,auxin,12671091;,
AT4G38840,auxin,,
AT4G38850,auxin,,
AT4G38860,auxin,,
AT4G39403,auxin,0012172017;,
AT5G01990,auxin,,
AT5G02840,auxin,16463103;,
AT5G03280,auxin,9032965;,
AT5G03310,auxin,,
AT5G05730,auxin,15980261;,
AT5G07700,auxin,16463103;,
AT5G09810,auxin,11449050;,
AT5G10990,auxin,,
AT5G11320,auxin,16818609;,
AT5G12330,auxin,12566580;,
AT5G13300,auxin,10887077;,
AT5G13320,auxin,,
AT5G13350,auxin,,
AT5G13360,auxin,,
AT5G13370,auxin,,
AT5G13380,auxin,,
AT5G13930,auxin,11402184;,
AT5G15100,auxin,,
AT5G15310,auxin,16463103;,
AT5G16530,auxin,,
AT5G18010,auxin,,
AT5G18020,auxin,,
AT5G18030,auxin,,
AT5G18050,auxin,,
AT5G18060,auxin,,
AT5G18080,auxin,,
AT5G19140,auxin,,
AT5G19530,auxin,15894745;,
AT5G20570,auxin,12215511;,
AT5G20730,auxin,17259263;,
AT5G20810,auxin,,
AT5G20820,auxin,,
AT5G20960,auxin,9489015;,
AT5G20990,auxin,15710899;,
AT5G22220,auxin,16055635;,
AT5G25620,auxin,16818609;,
AT5G25890,auxin,11251090;,
AT5G27780,auxin,,
AT5G37020,auxin,16107481;,
AT5G37260,auxin,16463103;,
AT5G37770,auxin,16113225;,
AT5G42410,auxin,,
AT5G43700,auxin,7658471;,
AT5G43890,auxin,16126863;,
AT5G46845,auxin,17672844;,
AT5G47370,auxin,12492842;,
AT5G50760,auxin,,
AT5G51470,auxin,,
AT5G53590,auxin,,
AT5G54490,auxin,12857841;,
AT5G54500,auxin,11842161;,
AT5G54510,auxin,15659623;,
AT5G55540,auxin,16531491;,
AT5G56290,auxin,11063705;,
AT5G57090,auxin,9843496;,
AT5G57420,auxin,12036262;,
AT5G57560,auxin,7580251;,
AT5G59430,auxin,16463103;,
AT5G59780,auxin,16463103;,
AT5G61420,auxin,16463103;,
AT5G62470,auxin,16463103;,
AT5G63310,auxin,15927941;,
AT5G65670,auxin,11115889;,
AT5G65940,auxin,11404361;,
AT5G65980,auxin,,
AT5G66260,auxin,,
AT5G66700,auxin,15567172;,
AT5G67300,auxin,16463103;,
AT5G67580,auxin,16463103;,
CPR6,auxin,17919906;,
FKD1,auxin,12925595;,
GUP1,auxin,10344203;,
GUP2,auxin,10344203;,
HCA,auxin,16212606;,
ICR2,auxin,8883385;,
MIR393A,auxin,16627744;,
MOP2,auxin,17651372;,
MOP3,auxin,17651372;,
PIS1,auxin,9351244;,
RIB1,auxin,16258013;,
SAR1,auxin,9108374;,
SSA-2,auxin,,
TIR2,auxin,9165751;,
TIR4,auxin,9165751;,
TIR6,auxin,9165751;,
TIR7,auxin,9165751;,
AT1G03445,brassinosteroid,14977918;,
AT1G06390,brassinosteroid,17873094;,
AT1G13260,brassinosteroid,15040885;,
AT1G19350,brassinosteroid,12007405;,
AT1G22300,brassinosteroid,17681130;,
AT1G35160,brassinosteroid,17681130;,
AT1G50430,brassinosteroid,10758495;,
AT1G71930,brassinosteroid,16103214;,
AT1G74660,brassinosteroid,16412086;,
AT1G75080,brassinosteroid,11970900;,
AT1G75750,brassinosteroid,,
AT1G78300,brassinosteroid,17681130;,
AT2G26710,brassinosteroid,15908602;,
AT2G30980,brassinosteroid,17873094;,
AT2G38050,brassinosteroid,10398719;,
AT2G44080,brassinosteroid,16824178;,
AT2G45400,brassinosteroid,17521414;,
AT3G02580,brassinosteroid,9927639;,
AT3G13730,brassinosteroid,15703058;,
AT3G19820,brassinosteroid,9761794;,
AT3G20780,brassinosteroid,12119417;,
AT3G30180,brassinosteroid,15710611;,
AT3G50660,brassinosteroid,16407451;,
AT3G61460,brassinosteroid,0012012249;,
AT4G18710,brassinosteroid,11553730;,
AT4G30610,brassinosteroid,11320207;,
AT4G33430,brassinosteroid,0012150928;,
AT4G34160,brassinosteroid,11123807;,
AT4G36380,brassinosteroid,15703058;,
AT4G39400,brassinosteroid,9298904;,
AT5G05690,brassinosteroid,8612270;,
AT5G08130,brassinosteroid,15680330;,
AT5G10450,brassinosteroid,17681130;,
AT5G38970,brassinosteroid,0012226529;,
AT5G42750,brassinosteroid,16857903;,
AT5G50600,brassinosteroid,17616511;,
AT5G57560,brassinosteroid,7580251;,
AT5G58220,brassinosteroid,15319482;,
AT5G62380,brassinosteroid,16103214;,
AT5G65430,brassinosteroid,17681130;,
DWF8,brassinosteroid,9865154;,
MERI5,brassinosteroid,,
SAX1,brassinosteroid,10377996;,
AT1G03850,cytokinin,16212609;,
AT1G05850,cytokinin,11678273;,
AT1G09700,cytokinin,11148283;,
AT1G10470,cytokinin,9634588;,
AT1G12980,cytokinin,11752375;,
AT1G19050,cytokinin,16407152;,
AT1G25410,cytokinin,17062755;,
AT1G27320,cytokinin,16361392;,
AT1G28230,cytokinin,12662305;,
AT1G30260,cytokinin,16212609;,
AT1G36160,cytokinin,9449673;,
AT1G48270,cytokinin,9512416;,
AT1G59940,cytokinin,9662428;,
AT1G62360,cytokinin,16139212;,
AT1G64520,cytokinin,11826296;,
AT1G67710,cytokinin,16227453;,
AT1G68460,cytokinin,17062755;,
AT1G69040,cytokinin,12481063;,
AT1G71930,cytokinin,16103214;,
AT1G74660,cytokinin,16412086;,
AT1G74890,cytokinin,12354925;,
AT1G75450,cytokinin,14555694;,
AT1G78240,cytokinin,12060228;,
AT1G80100,cytokinin,16400151;,
AT2G01830,cytokinin,14503005;,
AT2G18300,cytokinin,16212609;,
AT2G19500,cytokinin,14555694;,
AT2G25180,cytokinin,16227453;,
AT2G26980,cytokinin,16212609;,
AT2G27760,cytokinin,17062755;,
AT2G40670,cytokinin,12354925;,
AT2G41510,cytokinin,,
AT2G47000,cytokinin,16243904;,
AT3G10520,cytokinin,,
AT3G16770,cytokinin,16212609;,
AT3G16857,cytokinin,16227453;,
AT3G18780,cytokinin,16212609;,
AT3G19160,cytokinin,17062755;,
AT3G23630,cytokinin,16139212;,
AT3G48100,cytokinin,11115887;,
AT3G54010,cytokinin,9449673;,
AT3G57040,cytokinin,16407152;,
AT3G63110,cytokinin,17062755;,
AT3G63440,cytokinin,,
AT4G16110,cytokinin,16407152;,
AT4G16420,cytokinin,12747832;,
AT4G16780,cytokinin,16212609;,
AT4G24650,cytokinin,17062755;,
AT4G26150,cytokinin,16212609;,
AT4G29740,cytokinin,14555694;,
AT4G31920,cytokinin,16227453;,
AT4G34160,cytokinin,10712535;,
AT4G37790,cytokinin,16212609;,
AT4G38630,cytokinin,12671091;,
AT4G39403,cytokinin,0012172017;,
AT5G06650,cytokinin,,
AT5G19040,cytokinin,17062755;,
AT5G20040,cytokinin,17062755;,
AT5G21482,cytokinin,14555694;,
AT5G25220,cytokinin,16463096;,
AT5G35750,cytokinin,16361392;,
AT5G56970,cytokinin,14555694;,
AT5G62380,cytokinin,16103214;,
AT5G62920,cytokinin,11115887;,
AT5G65800,cytokinin,9539813;,
CIN1,cytokinin,9584113;,
CIN2,cytokinin,9584113;,
CIN3,cytokinin,9584113;,
HCA,cytokinin,16212606;,
STP1,cytokinin,,
TSD1,cytokinin,12060228;,
TSD3,cytokinin,12060228;,
AT1G01060,ethylene,16463103;,
AT1G01480,ethylene,16311726;,
AT1G02500,ethylene,2535470;,
AT1G03800,ethylene,9687012;,
AT1G04310,ethylene,7569898;,
AT1G04370,ethylene,9687012;,
AT1G05010,ethylene,16311726;,
AT1G05710,ethylene,,
AT1G06160,ethylene,9687012;,
AT1G06180,ethylene,16463103;,
AT1G08720,ethylene,15894742;,
AT1G08810,ethylene,16463103;,
AT1G14920,ethylene,16400150;,
AT1G15360,ethylene,9687012;,
AT1G15520,ethylene,16506311;,
AT1G17520,ethylene,16463103;,
AT1G18330,ethylene,16463103;,
AT1G18570,ethylene,16463103;,
AT1G19220,ethylene,16461383;,
AT1G22640,ethylene,16463103;,
AT1G25220,ethylene,15980261;,
AT1G25490,ethylene,11161061;,
AT1G28160,ethylene,9687012;,
AT1G28360,ethylene,9687012;,
AT1G28370,ethylene,9687012;,
AT1G32230,ethylene,11041881;,
AT1G49950,ethylene,16463103;,
AT1G50640,ethylene,10715325;,
AT1G53170,ethylene,9687012;,
AT1G54490,ethylene,,
AT1G56010,ethylene,16359384;,
AT1G58250,ethylene,7867930;,
AT1G62380,ethylene,16311726;,
AT1G62960,ethylene,,
AT1G64060,ethylene,10381874;,
AT1G66340,ethylene,12481081;,
AT1G66350,ethylene,16400150;,
AT1G68765,ethylene,12972671;,
AT1G70000,ethylene,16463103;,
AT1G70510,ethylene,12376633;,
AT1G71030,ethylene,16463103;,
AT1G72360,ethylene,9687012;,
AT1G73730,ethylene,9215635;,
AT1G74430,ethylene,16463103;,
AT1G74840,ethylene,16463103;,
AT1G80580,ethylene,9687012;,
AT2G01570,ethylene,16400150;,
AT2G05520,ethylene,2152168;,
AT2G14580,ethylene,11725949;,
AT2G16720,ethylene,16463103;,
AT2G19590,ethylene,,
AT2G22810,ethylene,7642574;,
AT2G25490,ethylene,14675533;,
AT2G26070,ethylene,16682642;,
AT2G27050,ethylene,12606727;,
AT2G31180,ethylene,16463103;,
AT2G31230,ethylene,9687012;,
AT2G31730,ethylene,,
AT2G38120,ethylene,,
AT2G38210,ethylene,,
AT2G40940,ethylene,15703053;,
AT2G42680,ethylene,,
AT2G43790,ethylene,12628921;,
AT2G44840,ethylene,9687012;,
AT2G46830,ethylene,16463103;,
AT2G47190,ethylene,16463103;,
AT3G03450,ethylene,16400150;,
AT3G04580,ethylene,9707532;,
AT3G04720,ethylene,8118053;,
AT3G06490,ethylene,16463103;,
AT3G09600,ethylene,16463103;,
AT3G11440,ethylene,16463103;,
AT3G15170,ethylene,16359384;,
AT3G15210,ethylene,10715325;,
AT3G16350,ethylene,16463103;,
AT3G16770,ethylene,9159183;,
AT3G20310,ethylene,9687012;,
AT3G20770,ethylene,12606727;,
AT3G23150,ethylene,9576967;,
AT3G23220,ethylene,10715325;,
AT3G23230,ethylene,9687012;,
AT3G23240,ethylene,9851977;,
AT3G23250,ethylene,16463103;,
AT3G24500,ethylene,9687012;,
AT3G28910,ethylene,16463103;,
AT3G46060,ethylene,12692329;,
AT3G46130,ethylene,16463103;,
AT3G46590,ethylene,16463103;,
AT3G47190,ethylene,,
AT3G47600,ethylene,16463103;,
AT3G49700,ethylene,9952448;,
AT3G49850,ethylene,16463103;,
AT3G50060,ethylene,16463103;,
AT3G51770,ethylene,15118728;,
AT3G55730,ethylene,16463103;,
AT3G58680,ethylene,,
AT3G59060,ethylene,18065691;,
AT3G61510,ethylene,,
AT4G01280,ethylene,16463103;,
AT4G02680,ethylene,15118728;,
AT4G05100,ethylene,16463103;,
AT4G08040,ethylene,,
AT4G09460,ethylene,16463103;,
AT4G11280,ethylene,10080689;,
AT4G16110,ethylene,16961732;,
AT4G17490,ethylene,9687012;,
AT4G18450,ethylene,9687012;,
AT4G26200,ethylene,16311726;,
AT4G32040,ethylene,16463096;,
AT4G34990,ethylene,16463103;,
AT4G37260,ethylene,16463103;,
AT4G37580,ethylene,7768447;,
AT4G37770,ethylene,12972669;,
AT4G38620,ethylene,16463103;,
AT4G39403,ethylene,17138700;,
AT5G02840,ethylene,16463103;,
AT5G03280,ethylene,10381874;,
AT5G03730,ethylene,12821658;,
AT5G05730,ethylene,15980261;,
AT5G07580,ethylene,9687012;,
AT5G08290,ethylene,11230571;,
AT5G15310,ethylene,16463103;,
AT5G19880,ethylene,,
AT5G20730,ethylene,16461383;,
AT5G21120,ethylene,,
AT5G25190,ethylene,9687012;,
AT5G25350,ethylene,14675532;,
AT5G35220,ethylene,15659096;,
AT5G37260,ethylene,16463103;,
AT5G44210,ethylene,9687012;,
AT5G44420,ethylene,8989885;,
AT5G44790,ethylene,10381874;,
AT5G45890,ethylene,,
AT5G47220,ethylene,9687012;,
AT5G47230,ethylene,10715325;,
AT5G47390,ethylene,16463103;,
AT5G51640,ethylene,11230571;,
AT5G51690,ethylene,,
AT5G52660,ethylene,16463103;,
AT5G57090,ethylene,9679062;,
AT5G58550,ethylene,15118728;,
AT5G59430,ethylene,16463103;,
AT5G59780,ethylene,16463103;,
AT5G62470,ethylene,16463103;,
AT5G64900,ethylene,16785434;,
AT5G65800,ethylene,,
AT5G67300,ethylene,16463103;,
AT5G67580,ethylene,16463103;,
CIN2,ethylene,9584113;,
EDF1,ethylene,,
EEN,ethylene,,
EER2,ethylene,16043454;,
EIN6,ethylene,7768447;,
OLD1,ethylene,0012366800;,
OLD2,ethylene,0012366800;,
SAG2,ethylene,,
AT1G01060,gibberellin,16463103;,
AT1G02400,gibberellin,10200325;,
AT1G05160,gibberellin,15923331;,
AT1G06180,gibberellin,16463103;,
AT1G08810,gibberellin,16463103;,
AT1G09530,gibberellin,18053005;,
AT1G12610,gibberellin,14871311;,
AT1G14920,gibberellin,17333251;,
AT1G15550,gibberellin,9701576;,
AT1G18570,gibberellin,16463103;,
AT1G22640,gibberellin,16463103;,
AT1G22690,gibberellin,,
AT1G30040,gibberellin,10200325;,
AT1G47990,gibberellin,10200325;,
AT1G49010,gibberellin,16463103;,
AT1G49950,gibberellin,16463103;,
AT1G50960,gibberellin,,
AT1G57560,gibberellin,16463103;,
AT1G60980,gibberellin,7630935;,
AT1G63030,gibberellin,14871311;,
AT1G66340,gibberellin,15773852;,
AT1G66350,gibberellin,11826301;,
AT1G69530,gibberellin,17449805;,
AT1G70000,gibberellin,16463103;,
AT1G71030,gibberellin,16463103;,
AT1G74430,gibberellin,16463103;,
AT1G74650,gibberellin,16463103;,
AT1G74660,gibberellin,16412086;,
AT1G74670,gibberellin,11598220;,
AT1G74840,gibberellin,16463103;,
AT1G75750,gibberellin,10849358;,
AT1G78440,gibberellin,10200325;,
AT1G79460,gibberellin,9536043;,
AT1G80330,gibberellin,16181493;,
AT1G80340,gibberellin,15923331;,
AT2G01570,gibberellin,11449051;,
AT2G14900,gibberellin,,
AT2G16720,gibberellin,16463103;,
AT2G18420,gibberellin,,
AT2G20180,gibberellin,16740147;,
AT2G25170,gibberellin,9204906;,
AT2G26300,gibberellin,12068128;,
AT2G30810,gibberellin,,
AT2G32440,gibberellin,11172076;,
AT2G32460,gibberellin,11743113;,
AT2G34555,gibberellin,10200325;,
AT2G36830,gibberellin,,
AT2G36890,gibberellin,16463103;,
AT2G37630,gibberellin,16463103;,
AT2G37640,gibberellin,17449805;,
AT2G39540,gibberellin,,
AT2G46830,gibberellin,16463103;,
AT3G02885,gibberellin,,
AT3G03450,gibberellin,17333251;,
AT3G05120,gibberellin,17194763;,
AT3G09600,gibberellin,16463103;,
AT3G11440,gibberellin,11743113;,
AT3G11540,gibberellin,10645426;,
AT3G13890,gibberellin,16463103;,
AT3G16350,gibberellin,16463103;,
AT3G27920,gibberellin,9625690;,
AT3G28910,gibberellin,16463103;,
AT3G46130,gibberellin,16463103;,
AT3G46590,gibberellin,16463103;,
AT3G47620,gibberellin,17953649;,
AT3G49850,gibberellin,16463103;,
AT3G50060,gibberellin,16463103;,
AT3G51060,gibberellin,,
AT3G55730,gibberellin,16463103;,
AT3G58070,gibberellin,16679458;,
AT3G63010,gibberellin,17194763;,
AT4G01280,gibberellin,16463103;,
AT4G02780,gibberellin,7994182;,
AT4G09460,gibberellin,16463103;,
AT4G09600,gibberellin,7727751;,
AT4G09610,gibberellin,,
AT4G21200,gibberellin,12509528;,
AT4G24210,gibberellin,12724538;,
AT4G25000,gibberellin,15927942;,
AT4G25420,gibberellin,15923331;,
AT4G26420,gibberellin,17220201;,
AT4G28160,gibberellin,8155880;,
AT4G30270,gibberellin,,
AT4G32980,gibberellin,11986761;,
AT4G35390,gibberellin,17277098;,
AT4G36260,gibberellin,,
AT4G36880,gibberellin,17449805;,
AT4G37260,gibberellin,16463103;,
AT4G38620,gibberellin,16463103;,
AT5G02840,gibberellin,16463103;,
AT5G03730,gibberellin,17389366;,
AT5G06100,gibberellin,11743113;,
AT5G06650,gibberellin,,
AT5G07200,gibberellin,7630935;,
AT5G07690,gibberellin,16463103;,
AT5G11260,gibberellin,18053005;,
AT5G13910,gibberellin,16339853;,
AT5G14920,gibberellin,,
AT5G15230,gibberellin,11598220;,
AT5G15310,gibberellin,16463103;,
AT5G17490,gibberellin,11826301;,
AT5G24860,gibberellin,9286110;,
AT5G25900,gibberellin,9952446;,
AT5G27320,gibberellin,17194763;,
AT5G37260,gibberellin,16463103;,
AT5G47390,gibberellin,16463103;,
AT5G48170,gibberellin,15161962;,
AT5G51310,gibberellin,7630935;,
AT5G51810,gibberellin,7630935;,
AT5G52660,gibberellin,16463103;,
AT5G56300,gibberellin,17220201;,
AT5G59430,gibberellin,16463103;,
AT5G59780,gibberellin,16463103;,
AT5G59845,gibberellin,,
AT5G60890,gibberellin,16463103;,
AT5G61420,gibberellin,16463103;,
AT5G61850,gibberellin,9596637;,
AT5G62470,gibberellin,16463103;,
AT5G65790,gibberellin,16463103;,
AT5G66350,gibberellin,10368174;,
AT5G67300,gibberellin,16463103;,
AT5G67580,gibberellin,16463103;,
GAR1,gibberellin,12228487;,
GAR10,gibberellin,12228487;,
GAR11,gibberellin,12228487;,
GAR12,gibberellin,12228487;,
GAR13,gibberellin,12228487;,
GAR14,gibberellin,12228487;,
GAR15,gibberellin,12228487;,
GAR16,gibberellin,12228487;,
GAR17,gibberellin,12228487;,
GAR2,gibberellin,12228487;,
GAR3,gibberellin,12228487;,
GAR4,gibberellin,12228487;,
GAR5,gibberellin,12228487;,
GAR6,gibberellin,12228487;,
GAR7,gibberellin,12228487;,
GAR8,gibberellin,12228487;,
GAR9,gibberellin,12228487;,
GAS1,gibberellin,8547820;,
GOE1,gibberellin,10849358;,
GOE2,gibberellin,10849358;,
GOE3,gibberellin,10849358;,
MERI5,gibberellin,,
RDO2,gibberellin,8587986;,
RDO3,gibberellin,12121467;,
AT1G01060,jasmonic acid,16463103;,
AT1G06180,jasmonic acid,16463103;,
AT1G06910,jasmonic acid,16463103;,
AT1G07640,jasmonic acid,16740150;,
AT1G08810,jasmonic acid,16463103;,
AT1G09400,jasmonic acid,10333582;,
AT1G13280,jasmonic acid,,
AT1G15520,jasmonic acid,16506311;,
AT1G17380,jasmonic acid,17637677;,
AT1G17420,jasmonic acid,8702864;,
AT1G17520,jasmonic acid,16463103;,
AT1G17990,jasmonic acid,10333582;,
AT1G18020,jasmonic acid,10333582;,
AT1G18570,jasmonic acid,16463103;,
AT1G18710,jasmonic acid,16463103;,
AT1G19180,jasmonic acid,17637677;,
AT1G19570,jasmonic acid,16262714;,
AT1G19640,jasmonic acid,11287667;,
AT1G20510,jasmonic acid,16963437;,
AT1G22640,jasmonic acid,16463103;,
AT1G28480,jasmonic acid,17397508;,
AT1G32230,jasmonic acid,11041881;,
AT1G32640,jasmonic acid,,
AT1G49010,jasmonic acid,16463103;,
AT1G49950,jasmonic acid,16463103;,
AT1G54040,jasmonic acid,17369373;,
AT1G55020,jasmonic acid,7506426;,
AT1G56650,jasmonic acid,16463103;,
AT1G57560,jasmonic acid,16463103;,
AT1G58220,jasmonic acid,16463103;,
AT1G66370,jasmonic acid,16463103;,
AT1G66380,jasmonic acid,16463103;,
AT1G70000,jasmonic acid,16463103;,
AT1G70700,jasmonic acid,17637677;,
AT1G71030,jasmonic acid,16463103;,
AT1G72260,jasmonic acid,9824308;,
AT1G72450,jasmonic acid,17637677;,
AT1G72520,jasmonic acid,8702864;,
AT1G74020,jasmonic acid,16021335;,
AT1G74430,jasmonic acid,16463103;,
AT1G74840,jasmonic acid,16463103;,
AT1G74950,jasmonic acid,17637677;,
AT1G76680,jasmonic acid,10333582;,
AT1G76690,jasmonic acid,10333582;,
AT1G76930,jasmonic acid,10333585;,
AT1G79180,jasmonic acid,16463103;,
AT2G06050,jasmonic acid,10973494;,
AT2G14580,jasmonic acid,11725949;,
AT2G16720,jasmonic acid,16463103;,
AT2G24210,jasmonic acid,16021335;,
AT2G24850,jasmonic acid,9342878;,
AT2G26690,jasmonic acid,16021335;,
AT2G28900,jasmonic acid,16021335;,
AT2G31180,jasmonic acid,16463103;,
AT2G33150,jasmonic acid,11891244;,
AT2G34600,jasmonic acid,17637677;,
AT2G34810,jasmonic acid,16021335;,
AT2G36890,jasmonic acid,16463103;,
AT2G37630,jasmonic acid,16463103;,
AT2G39770,jasmonic acid,16262714;,
AT2G39940,jasmonic acid,15860010;,
AT2G43710,jasmonic acid,16306139;,
AT2G44050,jasmonic acid,15075400;,
AT2G44810,jasmonic acid,11595796;,
AT2G46370,jasmonic acid,15064385;,
AT2G46410,jasmonic acid,16463103;,
AT2G46830,jasmonic acid,16463103;,
AT3G06490,jasmonic acid,16463103;,
AT3G09600,jasmonic acid,16463103;,
AT3G09940,jasmonic acid,16262714;,
AT3G11820,jasmonic acid,17241452;,
AT3G15500,jasmonic acid,11118137;,
AT3G16350,jasmonic acid,16463103;,
AT3G16470,jasmonic acid,,
AT3G17860,jasmonic acid,17637675;,
AT3G23050,jasmonic acid,16021335;,
AT3G23240,jasmonic acid,12509529;,
AT3G23250,jasmonic acid,16463103;,
AT3G25760,jasmonic acid,11891244;,
AT3G25770,jasmonic acid,11891244;,
AT3G25780,jasmonic acid,11891244;,
AT3G27810,jasmonic acid,16805732;,
AT3G28910,jasmonic acid,16463103;,
AT3G45140,jasmonic acid,8290626;,
AT3G46130,jasmonic acid,16463103;,
AT3G46590,jasmonic acid,16463103;,
AT3G47600,jasmonic acid,16463103;,
AT3G49850,jasmonic acid,16463103;,
AT3G50060,jasmonic acid,16463103;,
AT3G52400,jasmonic acid,17241452;,
AT3G55730,jasmonic acid,16463103;,
AT3G56400,jasmonic acid,16623907;,
AT3G61250,jasmonic acid,16463103;,
AT4G01060,jasmonic acid,16463103;,
AT4G01280,jasmonic acid,16463103;,
AT4G02570,jasmonic acid,15860010;,
AT4G03560,jasmonic acid,17253984;,
AT4G05100,jasmonic acid,16463103;,
AT4G05160,jasmonic acid,15677481;,
AT4G09460,jasmonic acid,16463103;,
AT4G11260,jasmonic acid,12782725;,
AT4G11280,jasmonic acid,16021335;,
AT4G12670,jasmonic acid,16463103;,
AT4G14110,jasmonic acid,,
AT4G22880,jasmonic acid,16021335;,
AT4G23100,jasmonic acid,16262714;,
AT4G23600,jasmonic acid,16021335;,
AT4G26850,jasmonic acid,16262714;,
AT4G34460,jasmonic acid,16339801;,
AT4G34710,jasmonic acid,0012428010;,
AT4G34990,jasmonic acid,16463103;,
AT4G35770,jasmonic acid,16021335;,
AT4G37260,jasmonic acid,16463103;,
AT4G37760,jasmonic acid,16021335;,
AT4G38620,jasmonic acid,16463103;,
AT5G02840,jasmonic acid,16463103;,
AT5G03280,jasmonic acid,10381874;,
AT5G07690,jasmonic acid,16463103;,
AT5G07700,jasmonic acid,16463103;,
AT5G08790,jasmonic acid,16115070;,
AT5G10280,jasmonic acid,16463103;,
AT5G11270,jasmonic acid,15923348;,
AT5G13220,jasmonic acid,17637677;,
AT5G13930,jasmonic acid,16021335;,
AT5G15310,jasmonic acid,16463103;,
AT5G24770,jasmonic acid,11340179;,
AT5G24780,jasmonic acid,11340179;,
AT5G27380,jasmonic acid,16262714;,
AT5G37260,jasmonic acid,16463103;,
AT5G37500,jasmonic acid,15064385;,
AT5G42650,jasmonic acid,12430030;,
AT5G43860,jasmonic acid,10611389;,
AT5G44420,jasmonic acid,12805630;,
AT5G47390,jasmonic acid,16463103;,
