gene	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	PI10	PI11	PI12	salinas1	salinas2	salinas3	salinas4	salinas5	salinas6	salinas7	salinas8	salinas9	salinas10	salinas11	salinas12
gene23	69.29913445	79.07654768	42.19040078	138.7067175	171.5681489	158.4813517	219.3423293	193.1123202	198.655999	288.9389441	241.1743566	748.8992956	49.08565263	20.69233705	50.08126337	140.6314794	214.3587934	328.4354399	25.63627655	33.81748732	47.07727531	16.57008449	55.19203982	30.19311292
gene24	46.87316291	71.73888692	25.42890317	106.9033214	136.5820297	92.65036655	196.0844117	165.7372603	182.0552388	227.1349395	170.1400836	569.1037595	42.36910316	15.88173514	42.74504068	93.5342294	215.7634113	237.7448912	21.14082188	23.26220582	44.04806927	20.99370308	32.60893072	16.29118777
gene25	530.580448	352.2302702	266.0606916	1615.704031	1329.750499	1382.46469	722.1012506	533.0457704	664.7505715	1143.474284	982.3181667	823.6462849	300.2886515	205.4835755	252.2832163	1471.056191	1064.816781	522.0247828	287.906519	276.2981884	355.1426236	376.6855699	370.6626114	366.3432253
gene26	82.66270357	61.44317963	50.94680436	252.4696059	250.1250806	250.7378406	114.1693124	109.3399293	108.1763629	157.5949658	143.6592068	166.4087495	79.12068929	33.51106854	51.12892564	154.557421	166.5072414	288.2356836	46.01081659	38.49230609	62.29557308	69.67106235	65.94956242	80.05382555
gene27	454.168883	551.8423368	668.044629	199.7216441	385.6349419	195.2822042	901.2797876	1033.219748	852.032069	128.9684787	418.9486306	48.25484622	438.3626697	578.0973502	495.082344	7.794422673	101.4077617	248.7780392	181.6801111	183.0278801	206.8310846	156.3424123	267.1251975	169.575716
gene28	101.5439561	51.66721793	37.88832231	390.9464248	304.521872	579.2867186	121.6916266	101.4673246	113.2407618	232.900759	224.9826472	381.6653802	22.04142115	18.31592728	32.09993557	148.6220945	167.7732253	272.9874544	35.18402523	31.63071854	40.83058637	23.50262884	49.38145252	35.68367322
gene29	174.4407524	141.4035128	98.74638771	808.0722556	550.9658972	593.2308396	265.5370134	211.7999001	277.0672521	453.6185134	346.8783946	419.5448612	57.13804228	31.81844146	76.23708181	571.8188638	437.6852565	323.2975619	48.99458914	60.08096226	79.28253093	43.47175784	98.99551584	56.74638395
gene30	71.36630509	45.93776721	52.90607558	114.6255072	131.9049351	149.5156806	104.950787	104.9930545	92.94454057	67.29011865	100.8963302	118.8263431	24.00859002	12.70810292	20.28556765	27.62868014	122.6317545	123.963143	12.79922427	18.04246596	17.11993412	9.297432729	35.04830274	14.93053084
gene31	117.1188611	100.1535358	68.72645987	200.4192833	347.2928537	191.1558136	188.1651652	152.6670092	207.4880049	119.864497	139.1234144	131.6901677	48.08151378	21.16736024	67.16626944	163.5152469	335.459549	375.4950194	18.75815794	28.94953328	36.66906101	10.30416861	35.52564905	17.92792168
gene32	152.332071	164.0506266	65.55703679	820.4383704	1483.519057	715.997553	467.6614572	261.7705795	273.160546	471.6624285	373.6023131	438.4790231	49.7453534	35.84028914	65.97510173	847.487509	1467.977529	345.7199323	49.34239592	72.81080458	92.82386427	48.33836984	96.35028101	54.66545001
