"","5th.SAM.1","5th.SAM.2","5th.SAM.3","5th.SAM.4","4th.leaf.1","4th.leaf.2","4th.leaf.3","4th.leaf.4"
"14332",44.1769265842923,29.487326135573,31.0465548569623,21.9358017192303,48.3154344078501,58.2161790244203,28.8207434245853,32.6735786612706
"14334",211.438930124842,229.868233886211,336.437036978731,241.115740066321,532.727682844337,485.605171813347,432.636632961106,450.936476251876
"14335",17.9867421412061,25.3258154522256,14.0223678837384,7.27701748625198,14.8094090300045,0.185693088026229,19.0810738051555,0
"14336",107.351827680429,117.837534004402,101.158548016249,121.217893892935,88.7040126902854,102.121316759484,64.1523145070791,105.145192288757
"14337",75.3719458347494,64.1137627891679,87.1208902575911,75.4645908500238,89.411869934143,64.9501045412012,67.8172589583634,82.3037881039342
"14338",125.169630310755,95.7336784439233,141.195809838284,126.973845037887,122.563189630892,100.134209035463,120.601245786034,123.943746854835
"14339",0.169274872291772,13.1986763694944,16.0204500324684,15.9204709537753,8.01494446766752,14.0580614463477,10.8860073095501,10.9037620115834
"14340",195.72711540192,172.77786543314,157.246850941467,174.338724901926,182.909491173714,141.207788795209,127.077149499328,138.742436357399
"14341",146.379775712824,155.383471578845,157.223209628553,115.278902961264,152.164708004415,118.648459749301,152.585096180637,112.918789918807
"14342",8.51333188953182,10.1548852144608,8.01280743160951,9.56647255010844,6.34665081481662,0.131077473900868,11.7073825852089,5.94657598392488
"14343",0.10444619779705,12.1521971213819,5.009026361531,10.6563052221202,0,0.109231228250724,8.54917871616057,11.9286990163006
"14344",97.4369905345,96.4925693504337,92.1357517391596,76.2721121593377,93.8319320479721,68.3617896547291,102.486879929684,67.3424768966555
"14345",92.4461038222044,92.5038536605779,92.1397505252848,104.73101520175,88.7167621977314,78.0714679464116,92.3668185297852,100.167216800925
"14346",20.1048251634246,0.0717868531972972,25.0317812826481,25.7129594348921,21.9031330269798,0.398693983115139,30.9724073687513,19.831404822189
"14347",67.5809545942472,55.896346149983,51.0798065989441,50.8167887315001,69.1020575012064,35.4253206842853,40.5020321881191,38.6279181135686
"14348",164.61917023204,132.124104904217,140.203746764989,101.09735353443,113.995759349272,129.40741804348,112.256443772208,112.991478476715
"14349",42.2315581035422,31.5307228598406,40.0557285203743,26.3285523365553,70.2812321840884,50.6358602559959,72.3235733884369,44.5463671411013
"14350",7.32345621948944,0.0157341048103663,0.0014595971900051,8.11259198816005,10.2640440387694,0.0983081054256507,0.0939631936896568,6.94941616409861
"14351",226.084148022145,228.631570285942,207.322059047298,240.452546270531,320.860027292173,318.046175969398,279.321055431938,276.479223913731
"14352",8.5408193721451,0.0403186435765628,19.0210931216738,12.2926080716189,14.7200854245579,0.218462456501446,0.208807097088126,23.8584919356239
"14353",14.6037579678494,4.08650126056134,0.00255429508250993,8.80150881472416,14.5285142629327,17.3129390521372,12.0418603821764,10.892122231713
"14354",103.952231530976,109.687851520738,88.1409263920137,104.289568032091,120.459334135721,96.393671760675,93.9263778366003,98.1199464402836
"14355",21.3954605970916,30.4597271039775,28.0410359752607,27.8092913721212,27.9362360913724,29.5561991329595,26.3066426976053,39.6915354353348
"14356",203.444174516418,219.280608481392,180.276708794611,166.614167444388,179.115323959932,188.754567141936,180.742579701917,189.361670334615
